"srno","id","name","url","address","locality","city","city_id","latitude","longitude","locality_verbose","cuisines","average_cost_for_two","price_range","currency","aggregate_rating","rating_text","rating_color","votes","has_fake_reviews","has_online_delivery","is_table_reservation_supported","has_table_booking"
"1","2400052","Eat On","https://www.zomato.com/allahabad/eat-on-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","19/35, Palace Compound, Near Palace Cinema, MG Marg, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4504428014","81.8317518756","Civil Lines, Allahabad","North Indian","200","1","Rs.","4.9","Excellent","3F7E00","2001","0","1","0","0"
"2","2400394","Well Bean Cafe","https://www.zomato.com/allahabad/well-bean-cafe-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","207/53, MG Marg, Above Subway ,Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4501312815","81.8338825554","Civil Lines, Allahabad","Cafe","500","3","Rs.","4.4","Very Good","5BA829","275","0","1","0","0"
"3","2400269","Hot n Cool","https://www.zomato.com/allahabad/hot-n-cool-colonel-ganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","194, Opposite Anand Bhawan, Colonel Ganj, Allahabad","Colonel Ganj","Allahabad","24","25.4599708640","81.8593699113","Colonel Ganj, Allahabad","Desserts, Fast Food, Ice Cream","450","2","Rs.","4.3","Very Good","5BA829","218","0","1","0","0"
"4","2400403","Pind Balluchi","https://www.zomato.com/allahabad/pind-balluchi-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","48/8 Stratchy Road, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4523627633","81.8328136951","Civil Lines, Allahabad","North Indian, Mughlai","1000","4","Rs.","4.3","Very Good","5BA829","302","0","1","0","0"
"5","2400018","El Chico Restaurant","https://www.zomato.com/allahabad/el-chico-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","142A, 32, Mahatma Gandhi, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4505387699","81.8336277455","Civil Lines, Allahabad","Continental, North Indian, Chinese","800","3","Rs.","4.4","Very Good","5BA829","503","0","1","0","0"
"6","2400020","Aryan Family's Delight","https://www.zomato.com/allahabad/aryan-familys-delight-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Ground Floor, Vinayak City Centre, Sardar Patel Marg, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4545369879","81.8348850310","Civil Lines, Allahabad","North Indian, South Indian, Fast Food","500","3","Rs.","4.3","Very Good","5BA829","291","0","1","0","0"
"7","2400565","Old School Cafe","https://www.zomato.com/allahabad/old-school-cafe-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","33/2/A, Stretchy Road, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4546577770","81.8336213753","Civil Lines, Allahabad","Cafe, North Indian, Continental, Chinese, Indian, Thai, Burger","1000","4","Rs.","4.4","Very Good","5BA829","358","0","1","0","0"
"8","2400739","Barbeque Nation","https://www.zomato.com/allahabad/barbeque-nation-2-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Fifth Floor, P Square Mall, MG Road, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4494530000","81.8395360000","Civil Lines, Allahabad","North Indian, Mediterranean","1200","4","Rs.","4.6","Excellent","3F7E00","240","0","0","1","1"
"9","2400009","Sagar Ratna","https://www.zomato.com/allahabad/sagar-ratna-tagore-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","3/3, Hashimpur Road, Balson Crossing, Near Anand Bhawan, Tagore Town, Allahabad","Tagore Town","Allahabad","24","25.4572654601","81.8600317463","Tagore Town, Allahabad","South Indian, North Indian, Chinese, Continental","600","3","Rs.","4.4","Very Good","5BA829","591","0","0","0","0"
"10","2400006","Allahabad Biryani Centre","https://www.zomato.com/allahabad/allahabad-biryani-centre-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","7/E, Shankar Tower, Clive Road, Near Jwala Devi Inter collage, Civil Lines, Allahabad. Opp. Samsung mobile service centre.","Civil Lines","Allahabad","24","25.4549446106","81.8309326172","Civil Lines, Allahabad","Biryani, Mughlai","400","2","Rs.","3.8","Good","9ACD32","151","0","1","0","0"
"11","2400193","Mr. Dewsis","https://www.zomato.com/allahabad/mr-dewsis-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Serial 2, Tashkand Marg Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4555053711","81.8337936401","Civil Lines, Allahabad","North Indian, Chinese","600","3","Rs.","4.2","Very Good","5BA829","456","0","1","0","0"
"12","2400119","KFC","https://www.zomato.com/allahabad/kfc-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","P Square Mall, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4495348806","81.8396013603","Civil Lines, Allahabad","Burger, Fast Food","600","3","Rs.","4.2","Very Good","5BA829","410","0","1","0","0"
"13","2400358","Domino's Pizza","https://www.zomato.com/allahabad/dominos-pizza-1-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","3/31, Sardar Patel Marg, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4546100000","81.8355100000","Civil Lines, Allahabad","Pizza, Fast Food","700","3","Rs.","3.7","Good","9ACD32","499","0","0","0","0"
"14","18889008","EDEN by Connoisseur","https://www.zomato.com/allahabad/eden-by-connoisseur-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Hotel Samrat, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4498680000","81.8336210000","Civil Lines, Allahabad","North Indian, Chinese, Continental","1000","4","Rs.","4.2","Very Good","5BA829","89","0","0","0","0"
