rating_text,rating,foodie_level_num,review_time_friendly,id,likes,review_text
Great!,4,2,3 days ago,2400052,0,One of the best biriyani point at Allahabad So tasty an so friendly and staff is also liable I am so happy good soooo good biriyani yummy Fe...
Insane!,5,3,4 days ago,2400052,0,Bbbbrrrriiiiiiiyyyyyyaaaannnnniiiiii💕💕💕🔥🔥🔥 the best briyani is here only just vist is once itsso good and the main thing i...
Great!,4,2,4 days ago,2400052,0,"Biryani was really delicious. Also, Raita is awesome too. One can pay easily by Cash or via PayTM. Just one thing is missing, EatOn should s..."
Insane!,5,2,6 days ago,2400052,0,"Eat on is one of the best chicken biryani restaurant, and we love to visit there, and all the things of eat on is so amzing so beautiful so ..."
Insane!,5,2,11 days ago,2400052,1,Awesome Biryani And I Like To Eat Here With My Friends And Brothers Its Really Great Tasting Chicken Biryani Serve from eat on 👌 i prefer...
Blah!,2,4,yesterday,18799013,0,"Pricy, this all i want to say about this place. Though Tandoori Momos were good in taste. Staff was too lazy. Me and my friend were keep tel..."
Average,3,6,3 days ago,18799013,0,"I went to this place after hearing all the reviews .To be honest i didn't find anything wow about this place , as the name itself says it sp..."
Insane!,5,4,7 days ago,18799013,1,"I am so sooo soooo glad that i went to this place ...... they have experimented with momo on every level ...... sizzler, main course, desser..."
Average,3,8,11 days ago,18799013,0,This Place In Civil Lines Serves Momo & Noodles We Were in Group of 6-7 People. & we Tried Mexican Steamed Momo Which Was over cooked & frie...
Great!,4,3,12 days ago,18799013,0,Place is great for momossss...lovers ...different type and very elegant way to present it in different forms. One of the best outlets in All...
Avoid!,1,2,15 days ago,2400349,0,"The pizza was cold, Pizza hut is 300 meter aprox from my home. And zomato guys are saying me that pizza was delivered on time. Even the seas..."
Average,3,4,16 days ago,2400349,0,"The ambience is OK, and above all too crowded! The service is too slow, and the pizza tasted great.. We had cheese max crust, so it tasted d..."
Average,3,2,18 days ago,2400349,0,Too expensive for the given food Quality. Ambience was Good and Catchy! Behavior of staff was just fine. Order took not too much time but a ...
Insane!,5,5,25 days ago,2400349,0,"Every time pizza came to mind , pizza hut my all time favourite. It's seems really good to see that they maintain their taste everytime. Gre..."
Great!,4,5,one month ago,2400349,0,"This pizzaria offers some tasty pizza , beverages and other Italian foods which are perfect treat to your taste buds .  They serve pizza wit..."
Insane!,5,2,4 days ago,2400269,0,Pizza is very yammy and tasty The resturant is good and his service is very good and ordered at time and resturant is very good and service ...
Great!,4,3,17 days ago,2400269,0,A nice pocket friendly place for those who wanna satiate their taste buds with any of their junkies. I myself tried their burgers. I guess t...
Great!,4,2,17 days ago,2400269,0,Your food items are idorable especially the cheese sandwich but the Veg burger needs to be improved as it was not worth it...otherwise you a...
Insane!,5,7,17 days ago,2400269,8,Hot n Cool offers one of the best chicken burgers of Allahabad...The Big Ben with juicy chicken on the inside and crunchy on the outside is ...
Average,3,8,21 days ago,2400269,0,As the name tells this place is really Hot n Cool... And is a quick place to get the stuff @ reasonable price ... In day time this place is ...
Great!,4,7,3 days ago,2400403,0,I recently visited Allahabad for Kumbh mela and went for dinner at Pind Balluchi. We were 4 members of family who were out for dinner. All o...
Great!,4,7,3 days ago,2400403,0,Pind Balluchi has a great ambience serves Delicious Food but slow service but taste of food took it over. ♥️  Dahi ke kebab : 255 (3/5) ...
Average,3,4,11 days ago,2400403,0,Great place in civil lines allahabad nice staff cooperating and suggestive but in food they something missing they do 2 oils in food and foo...
Insane!,5,2,16 days ago,2400403,1,Real punjabi tadka...!! Delicious and yummy foodz...😜 Good interior and best for family & friends get together party. Jaggery at the plac...
Avoid!,1,3,22 days ago,2400403,0,Very slow service. Horrible hospitality. The waiters were full of attitude and had a very mean behaviour. Not worth going. The food takes ab...
Great!,4,4,20 days ago,2400119,0,"I’ve been to KFC on multiple occasions, and last night, I had ordered through zomato. The food is of great quality, and the chicken tastes..."
Insane!,5,7,22 days ago,2400119,8,Of course there's not much to say about KFC...the name is sufficient in itself...the service is quick and this American fast food chain is m...
Great!,4,6,23 days ago,2400119,2,🍗Hello our lovely foodies!!❤️ We are here with another update for you but this time not from any cafe but from an American fast food ...
Average,3,3,one month ago,2400119,0,Friendly employees the place could be better it is good but can be 1 step up everything taste good except those burgers maybe everyone’s t...
Avoid!,1,2,one month ago,2400119,0,"I have visited kfc,Hot wings was amazing,burger was cold, floor is dirty and massy,there staff don't have Manners how to talk with customers..."
Insane!,5,5,3 days ago,2400394,0,Hey guys😀This is Actually a Review for most of the Dishes We've tried & ordered from @wellbeancafe in last few Months from @zomatoin (Thi...
Great!,4,6,4 days ago,2400394,0,"A very funky cozy food and drinks cafe ,with minimal prices and amazing taste.They have tried to be extremely price friendly, which is the b..."
Insane!,5,3,4 days ago,2400394,0,A perfect cafe. I ever visit with lots of books and food with low cost(under bugde) and its service is also good enough and best thing in al...
Great!,4,4,5 days ago,2400394,1,Nice place. Really great coffee and love the pank cakes. Great place for hangout and a variety of books to read as well if your alone. So wo...
Insane!,5,2,8 days ago,2400394,1,Best place in Allahabad to have coffee and pizza. Each and every food they serve is amazing. I really loved their ambience. It located right...
Great!,4,2,6 hours ago,2400565,0,Nice place to visit. Food is good. Paneer dish was nice. Service was really nice and friendly. Calm and nice environment. One of the best pl...
Blah!,2,2,16 days ago,2400565,0,"Honey chilli potato was tasty, chilli garlic noodles was fine, paneer pizza and mixed pasta were disaster. Probably first and the last visit..."
