cuisines,has_online_delivery,is_book_form_web_view,votes,name,switch_to_order_menu,has_table_booking,currency,rating_text,city_id,average_cost_for_two,has_fake_reviews,price_range,address,locality_verbose,aggregate_rating,latitude,country_id,is_table_reservation_supported,rating_color,url,longitude
North Indian,1,0,1810,Eat On,0,0,Rs.,Excellent,24,200,0,1,"19/35, Palace Compound, Near Palace Cinema, MG Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.9,25.4504428014,1,0,3F7E00,https://www.zomato.com/allahabad/eat-on-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8317518756
"Momos, Beverages",1,0,113,Nainital Momos,0,0,Rs.,Very Good,24,400,0,2,"45A/89C/2, Thornill Road, Civil Lines, Allahabad","Civil Lines, Allahabad",4.1,25.4597619897,1,0,5BA829,https://www.zomato.com/allahabad/nainital-momos-10-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8386418000
"Italian, Pizza",1,0,516,Pizza Hut,0,0,Rs.,Very Good,24,700,0,3,"31/31, Sardar Patel Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.0,25.4558653587,1,0,5BA829,https://www.zomato.com/allahabad/pizza-hut-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8354020268
"Desserts, Fast Food, Ice Cream",1,0,191,Hot n Cool,0,0,Rs.,Very Good,24,450,0,2,"194, Opposite Anand Bhawan, Colonel Ganj, Allahabad","Colonel Ganj, Allahabad",4.2,25.4599708640,1,0,5BA829,https://www.zomato.com/allahabad/hot-n-cool-colonel-ganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8593699113
"North Indian, Mughlai",1,0,294,Pind Balluchi,0,0,Rs.,Very Good,24,1000,0,4,"48/8 Stratchy Road, Civil Lines, Allahabad","Civil Lines, Allahabad",4.3,25.4523627633,1,0,5BA829,https://www.zomato.com/allahabad/pind-balluchi-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8328136951
"Burger, Fast Food",1,0,388,KFC,0,0,Rs.,Very Good,24,600,0,3,"P Square Mall, Civil Lines, Allahabad","Civil Lines, Allahabad",4.2,25.4495348806,1,0,5BA829,https://www.zomato.com/allahabad/kfc-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8396013603
Cafe,1,0,261,Well Bean Cafe,0,0,Rs.,Very Good,24,500,0,3,"207/53, MG Marg, Above Subway ,Civil Lines, Allahabad","Civil Lines, Allahabad",4.3,25.4501312815,1,0,5BA829,https://www.zomato.com/allahabad/well-bean-cafe-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8338825554
"Cafe, North Indian, Continental, Chinese, Indian, Thai, Burger",1,0,350,Old School Cafe,0,0,Rs.,Very Good,24,1000,0,4,"33/2/A, Stretchy Road, Civil Lines, Allahabad","Civil Lines, Allahabad",4.4,25.4546577770,1,0,5BA829,https://www.zomato.com/allahabad/old-school-cafe-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8336213753
"Pizza, Fast Food",0,0,488,Domino's Pizza,0,0,Rs.,Good,24,700,0,3,"3/31, Sardar Patel Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",3.7,25.4546100000,1,0,9ACD32,https://www.zomato.com/allahabad/dominos-pizza-1-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8355100000
"Pizza, Fast Food",0,0,494,Domino's Pizza,0,0,Rs.,Good,24,700,0,3,"Ground Floor, Vinayak City Centre, Sardar Patel Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",3.9,25.4546356500,1,0,9ACD32,https://www.zomato.com/allahabad/dominos-pizza-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8345421700
